,ID,Title,Score,Rating,Genre,Directed By,Written By,Box Office,Release Date,Runtime,Studio
47,A_0183,Split,73,PG-13,Thriller,M. Night Shyamalan,M. Night Shyamalan,138291365,2017-01-20,117,Blinding Edge Pictures
48,A_0189,Demon House,68,NOT RATED,Documentary,Zak Bagans,Zak Bagans,0,2018-03-16,111,
49,A_0190,Jigsaw,59,R,Horror,Michael Spierig,Pete Goldfinger,38052832,2017-10-27,92,Serendipity Productions
50,A_0191,Monster Family,46,PG,Comedy,Holger Tappe,David Safier,112014,2018-02-09,93,Ambient Entertainment GmbH
51,A_0198,My Friend Dahmer,64,R,Horror,Marc Meyers,Marc Meyers,1355664,2018-06-01,107,Ibid Filmworks
52,A_0200,Leap!,68,PG,Comedy,Eric Summer,Eric Summer,24479155,2017-08-25,89,Quad Productions
53,A_0205,Zootopia,80,PG,Comedy,Byron Howard,Byron Howard,341268248,2016-03-04,108,Walt Disney Pictures
54,A_0206,Sing,71,PG,Comedy,Garth Jennings,Garth Jennings,270329045,2016-12-21,108,Dentsu
55,A_0211,Frozen,75,PG,Comedy,Chris Buck,Jennifer Lee,400738009,2013-11-27,102,Walt Disney Animation Studios
56,A_0213,Cars 3,68,G,Comedy,Brian Fee,Brian Fee,152901115,2017-06-16,102,Pixar Animation Studios
57,A_0214,The Emoji Movie,31,PG,Comedy,Tony Leondis,Tony Leondis,86089513,2017-07-28,86,Columbia Pictures
