B_0001,Title,Score,Rating,Genre,Directed By,Written By,Box Office,Release Date,Runtime,Studio
B_0156,Flatliners,5,PG-13,Drama;Horror;Science Fiction & Fantasy,Niels Arden Oplev,Ben Ripley,16877430,2017-09-29,108,Columbia Pictures
B_0157,Brad's Status,82,R,Comedy;Drama,Mike White,Mike White,2029594,2017-09-15,101,Amazon Studios
B_0158,The King's Choice,84,NOT RATED,Drama,Erik Poppe,Harald RosenlÃÂ¸w-Eeg;Jan Trygve RÃÂ¸yneland,113231,2017-09-22,130,Samuel Goldwyn Films
B_0159,The Tiger Hunter,76,NOT RATED,Comedy;Drama,Lena Khan,Sameer Asad Gardezi;Lena Khan,39553,2017-09-22,94,Sneaky Sneaky Films
B_0160,Bad Day for the Cut,100,NOT RATED,Art House & International;Drama;Mystery & Suspense,Chris Baugh,Chris Baugh;Brendan Mullin,NA,2017-10-20,99,
B_0161,Axolotl Overkill,64,NOT RATED,Art House & International;Drama,Helene Hegemann,Helene Hegemann,NA,NA,94,NA
B_0162,"Polina (Polina, danser sa vie)",83,NOT RATED,Art House & International;Drama,Valerie Muller;Angelin Preljocaj,Valerie Muller,161531,2017-08-25,112,Oscilloscope Laboratories
B_0163,Chavela,92,NOT RATED,Documentary,Catherine Gund;Daresha Kyi,NA,144764,2017-10-04,93,Aubin Pictures
B_0164,So B. It,40,PG-13,Drama,Stephen Gyllenhaal,Garry Williams,7455,2017-10-06,98,
B_0165,Blame,81,NOT RATED,Drama,Quinn Shephard,Laurie Shephard;Quinn Shephard,NA,2018-01-05,100,Samuel Goldwyn Films
B_0166,Shock Wave,83,NOT RATED,Action & Adventure;Art House & International,NA,Herman Yau,NA,NA,119,NA
B_0167,Devil's Gate,36,NOT RATED,Drama;Mystery & Suspense,Clay Staub,Peter Aperlo;Clay Staub,NA,2018-01-05,94,IFC Films
B_0168,The Challenge,75,NOT RATED,Documentary,Yuri Ancarani,NA,7092,2017-09-08,70,
B_0169,A Question of Faith,40,PG,Drama,Kevan Otto,Ty Manns,2507723,2017-09-29,91,Pure Flix Entertainment
B_0170,Psychopaths,15,NOT RATED,Horror,Mickey Keating,Mickey Keating,NA,2017-12-01,85,Samuel Goldwyn Films
B_0171,The Adventurers,17,NOT RATED,Action & Adventure,Stephen Fung,Stephen Fung;Chi Kwong Cheung;Steve Ha;Wong Hiu Chong;Andy Lo,214502,2017-08-18,104,
B_0172,Jeepers Creepers 3,20,NOT RATED,Drama;Horror;Special Interest,Victor Salva,Victor Salva,NA,2017-09-26,100,
B_0173,Brawl in Cell Block 99,92,NOT RATED,Action & Adventure;Mystery & Suspense,S. Craig Zahler,S. Craig Zahler,NA,2017-10-06,132,
B_0174,Bullet Head,53,R,Drama,Paul Solet,Paul Solet,NA,2017-12-08,93,
B_0175,Heat and Dust (1983),86,R,Drama;Romance,James Ivory,Ruth Prawer Jhabvala,NA,1983-09-15,133,Cohen Media
B_0176,The Lego Ninjago Movie,54,PG,Action & Adventure;Animation;Comedy;Kids & Family,Charlie Bean,Hilary Winston;Bob Logan;Paul Fisher,58938889,2017-09-22,90,Warner Bros. Pictures
B_0177,Dunkirk,92,PG-13,Action & Adventure;Drama,Christopher Nolan,Christopher Nolan,188042171,2017-07-21,107,Warner Bros. Pictures
B_0178,Stronger,91,R,Drama,David Gordon Green,John Pollono,4192426,2017-09-22,119,Lionsgate and Roadside Attractions
B_0179,Kingsman: The Golden Circle,52,R,Action & Adventure;Comedy,Matthew Vaughn,Jane Goldman;Matthew Vaughn,99733121,2017-09-22,NA,20th Century Fox
B_0180,mother!,69,R,Drama;Horror;Mystery & Suspense,Darren Aronofsky,Darren Aronofsky,17297289,2017-09-15,115,Paramount Pictures
B_0181,Bright,27,NOT RATED,Drama,David Ayer,Max Landis,NA,2017-12-22,NA,Netflix
B_0182,The Unknown Girl (La fille inconnue),70,NOT RATED,Art House & International;Drama,Jean-Pierre Dardenne;Luc Dardenne,Jean-Pierre Dardenne;Luc Dardenne,142332,2017-09-08,107,
B_0183,Killing Gunther,58,NOT RATED,Action & Adventure;Comedy,Taran Killam,Taran Killam,NA,2017-10-20,92,
B_0184,Endless Poetry (PoesÃÂ­a Sin Fin),94,NOT RATED,Art House & International;Drama;Science Fiction & Fantasy,Alejandro Jodorowsky,Alejandro Jodorowsky,28000,2017-07-14,128,NA
B_0185,Detroit,84,R,Drama;Mystery & Suspense,Kathryn Bigelow,Mark Boal,16788494,2017-08-04,142,Annapurna Pictures
B_0186,Victoria & Abdul,66,PG-13,Drama,Stephen Frears,Lee Hall,21667320,2017-10-06,NA,Focus Features
B_0187,Kaleidoscope,63,NOT RATED,Drama;Mystery & Suspense,Rupert Jones,Rupert Jones,NA,2017-12-08,NA,
B_0188,Tomorrow Ever After,86,NOT RATED,Comedy;Science Fiction & Fantasy,Ela Thier,Ela Thier,NA,2017-05-05,95,Thier Productions
